No,Ref,V,BV,UB
2370,240,19.222,1.18,
2371,240,19.073,1.204,
2372,240,19.971,0.753,
2374,240,19.12,0.533,
2378,240,18.544,1.043,
2379,240,17.086,0.853,0.433
2381,240,17.373,0.923,0.7
2383,240,19.478,1.36,
2384,240,17.631,1.653,
2387,240,19.424,1.362,
3001,240,15.555,0.699,0.157
3002,240,15.627,0.569,-0.035
3003,240,15.965,0.956,0.617
3004,240,11.691,1.115,0.964
3005,240,15.301,0.688,0.165
3006,240,15.58,0.68,0.11
3007,240,16.103,0.773,0.216
3008,240,15.534,0.682,0.136
3009,240,15.471,0.686,0.099
3010,240,16.828,0.831,0.392
3011,240,15.688,0.751,0.226
3012,240,16.617,0.782,0.294
3013,240,16.772,0.831,0.417
3014,240,15.035,0.826,0.35
3015,240,15.784,0.781,0.242
3016,240,14.526,0.644,0.076
3017,240,13.178,1.066,0.835
3018,240,11.375,1.527,1.868
3019,240,15.701,0.758,0.189
3020,240,15.464,0.672,0.142
3021,240,17.002,0.872,0.43
3022,240,15.288,0.692,0.115
3023,240,16.38,0.751,0.236
3024,240,14.873,1.008,0.804
3025,240,16.996,0.851,0.468
3026,240,14.112,0.949,0.36
3027,240,15.15,1.199,1.203
3028,240,16.102,0.728,0.161
3029,240,15.381,0.681,0.144
3030,240,16.605,0.772,0.295
3031,240,16.075,0.803,0.335
3032,240,17.074,0.898,0.527
3033,240,15.564,0.682,0.142
3034,240,14.561,1.038,0.825
3035,240,16.678,0.792,0.294
3036,240,16.773,0.599,-0.081
3037,240,14.751,0.758,0.301
3038,240,15.139,0.915,0.512
3039,240,14.965,0.564,-0.024
3040,240,16.014,0.722,0.185
3041,240,12.35,0.606,0.011
3042,240,15.715,0.802,0.304
3043,240,14.538,0.623,0.01
3044,240,14.757,0.686,0.144
3045,240,15.58,0.676,0.155
3046,240,15.252,0.937,0.606
3047,240,15.048,0.862,0.413
3048,240,15.749,0.799,0.267
3049,240,15.414,0.683,0.133
3050,240,14.475,1.028,0.783
3051,240,14.774,0.701,0.078
3052,240,15.025,0.696,0.141
3053,240,14.949,0.736,0.214
3054,240,15.684,0.693,0.128
3055,240,15.347,0.667,0.087
3056,240,15.275,1.249,1.222
3057,240,15.813,0.722,0.109
3058,240,13.39,1.155,1.024
3059,240,15.994,0.72,0.187
3060,240,16.215,0.752,0.197
3061,240,16.002,0.754,0.169
3062,240,15.949,0.713,0.194
3063,240,14.857,0.728,0.224
3064,240,16.391,0.629,0.043
3065,240,15.556,0.683,0.165
3066,240,16.582,0.902,0.268
3067,240,15.012,0.703,0.178
3068,240,14.484,1.006,0.759
3069,240,14.994,0.709,0.175
3070,240,15.486,0.705,0.2
3071,240,16.202,0.738,0.204
3072,240,16.378,0.765,0.282
3073,240,15.292,0.599,0.148
3074,240,13.635,0.62,0.095
3075,240,14.954,0.798,0.388
3076,240,15.25,0.669,0.132
3077,240,16.175,0.72,0.17
3078,240,12.592,0.88,0.551
3079,240,16.317,0.748,0.263
3080,240,16.479,0.765,0.185
3081,240,16.033,0.735,0.232
3082,240,13.097,0.965,0.809
3083,240,15.201,1.385,1.254
3084,240,15.35,0.671,0.108
3085,240,16.69,0.949,0.557
3086,240,12.15,0.98,0.527
3087,240,13.521,0.693,0.085
3088,240,15.186,0.898,0.428
3089,240,13.238,0.804,0.185
3090,240,14.88,0.66,0.053
3091,240,16.765,0.84,0.34
3092,240,16.061,0.705,0.204
3093,240,14.943,0.698,0.146
3094,240,13.226,1.32,1.328
3095,240,16.298,0.728,0.242
3096,240,15.519,0.65,0.086
3097,240,16.197,0.724,0.217
3098,240,15.621,0.677,0.146
3099,240,14.159,0.766,0.206
3100,240,13.081,0.513,-0.036
3101,240,15.962,0.737,0.212
3102,240,13.226,0.574,-0.001
3103,240,16.153,0.724,0.289
3104,240,16.552,0.802,0.327
3105,240,15.34,0.681,0.134
3106,240,14.809,0.679,0.123
3107,240,15.817,0.775,0.322
3108,240,15.599,0.755,0.184
3109,240,13.639,0.711,0.132
3110,240,15.058,0.676,0.142
3111,240,16.065,0.833,0.483
3112,240,15.227,0.685,0.12
3113,240,16.271,0.927,0.538
3114,240,16.595,0.795,0.269
3115,240,15.439,0.505,-0.04
3116,240,15.27,0.684,0.108
3117,240,12.456,0.715,0.131
3118,240,15.036,0.714,0.154
3119,240,16.55,0.671,-0.025
3120,240,16.443,1.229,1.04
3121,240,14.957,0.796,0.327
3122,240,16.027,0.816,0.325
3123,240,14.576,0.785,0.314
3124,240,15.707,0.689,0.156
3126,240,15.1,0.677,0.127
3127,240,16.232,0.732,0.27
3128,240,16.09,0.734,0.217
3129,240,14.878,0.679,0.132
3130,240,16.102,0.796,0.125
3131,240,15.691,0.678,0.174
3132,240,14.851,0.492,0.01
3133,240,15.994,0.702,0.198
3134,240,16.552,0.774,0.279
3135,240,15.144,0.563,-0.008
3136,240,12.279,0.634,0.033
3137,240,12.729,0.576,-0.01
3139,240,16.389,0.682,0.053
3140,240,13.945,1.047,0.796
3141,240,15.835,0.678,0.149
3142,240,15.825,0.692,0.154
3143,240,15.856,0.695,0.172
3144,240,16.18,0.819,0.429
3145,240,15,0.687,0.105
3146,240,15.123,0.68,0.137
3147,240,15.588,0.817,0.368
3148,240,15.799,0.686,0.176
3149,240,15.333,0.808,0.39
3150,240,16.324,0.832,0.359
3151,240,14.193,0.586,0.07
3152,240,14.389,1.06,0.864
3153,240,17.736,0.349,-0.417
3154,240,16.452,0.8,0.237
3155,240,16.167,0.724,0.208
3156,240,13.286,0.712,0.256
3157,240,15.489,0.688,0.141
3158,240,15.738,0.706,0.174
3159,240,17.003,0.873,0.493
3160,240,17.599,1.073,
3161,240,17.023,0.85,0.599
3162,240,17.225,0.953,0.62
3163,240,17.477,0.713,0.128
