logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,4.101,3.313,2.347,,,,9.65,4.209,3.42,2.456,,,,9.7,4.822,4.11,3.19
9.6,4.016,3.209,2.233,,,,9.65,4.124,3.317,2.343,,,,9.7,4.747,4.023,3.096
9.6,3.937,3.111,2.125,,,,9.65,4.038,3.212,2.228,,,,9.7,4.655,3.916,2.982
9.6,3.862,3.016,2.02,,,,9.65,3.96,3.115,2.12,,,,9.7,4.578,3.828,2.887
9.6,3.79,2.923,1.918,,,,9.65,3.883,3.017,2.012,,,,9.7,4.482,3.718,2.769
9.6,3.722,2.836,1.821,,,,9.65,3.812,2.925,1.911,,,,9.7,4.407,3.631,2.676
9.6,3.657,2.749,1.724,,,,9.65,3.743,2.834,1.81,,,,9.7,4.313,3.522,2.557
9.6,3.594,2.663,1.628,,,,9.65,3.676,2.744,1.709,,,,9.7,4.229,3.422,2.448
9.6,3.535,2.583,1.538,,,,9.65,3.612,2.657,1.612,,,,9.7,4.143,3.318,2.335
9.6,3.478,2.503,1.448,,,,9.65,3.549,2.57,1.514,,,,9.7,4.061,3.217,2.224
9.6,3.43,2.435,1.371,,,,9.65,3.493,2.491,1.424,,,,9.7,3.98,3.115,2.112
9.6,3.383,2.368,1.295,,,,9.65,3.442,2.417,1.341,,,,9.7,3.906,3.02,2.007
9.6,3.354,2.328,1.249,,,,9.65,3.389,2.342,1.255,,,,9.7,3.834,2.926,1.902
9.6,3.371,2.358,1.285,,,,9.65,3.381,2.332,1.244,,,,9.7,3.765,2.834,1.8
9.6,3.407,2.418,1.356,,,,9.65,3.393,2.353,1.269,,,,9.7,3.697,2.743,1.699
9.6,3.409,2.422,1.361,,,,9.65,3.44,2.431,1.36,,,,9.7,3.634,2.657,1.602
9.6,3.402,2.411,1.348,,,,9.65,3.442,2.434,1.364,,,,9.7,3.575,2.574,1.508
9.6,3.345,2.327,1.252,,,,9.65,3.434,2.422,1.351,,,,9.7,3.518,2.492,1.416
9.6,3.287,2.241,1.153,,,,9.65,3.377,2.339,1.255,,,,9.7,3.465,2.416,1.329
9.6,3.237,2.159,1.058,,,,9.65,3.32,2.254,1.158,,,,9.7,3.413,2.343,1.246
9.6,3.204,2.085,0.965,,,,9.65,3.279,2.175,1.062,,,,9.7,3.406,2.333,1.235
9.6,3.172,2.011,0.873,,,,9.65,3.247,2.102,0.971,,,,9.7,3.421,2.36,1.267
9.6,3.143,1.939,0.783,,,,9.65,3.216,2.027,0.878,,,,9.7,3.462,2.427,1.346
9.6,3.116,1.868,0.694,,,,9.65,3.187,1.955,0.788,,,,9.7,3.475,2.449,1.371
9.6,3.092,1.799,0.605,,,,9.65,3.162,1.887,0.701,,,,9.7,3.453,2.417,1.335
9.6,3.071,1.732,0.52,,,,9.65,3.138,1.818,0.612,,,,9.7,3.395,2.331,1.236
9.6,3.051,1.667,0.435,,,,9.65,3.118,1.751,0.526,,,,9.7,3.349,2.253,1.144
9.6,3.035,1.604,0.353,,,,9.65,3.098,1.685,0.442,,,,9.7,3.322,2.192,1.069
9.6,3.015,1.542,0.27,,,,9.65,3.084,1.624,0.361,,,,9.7,3.29,2.118,0.977
9.6,2.974,1.482,0.187,,,,9.65,3.05,1.561,0.276,,,,9.7,3.259,2.044,0.884
9.6,2.93,1.42,0.102,,,,9.65,3.007,1.5,0.191,,,,9.7,3.231,1.973,0.794
9.6,2.886,1.361,0.022,,,,9.65,2.963,1.44,0.11,,,,9.7,3.207,1.905,0.707
9.6,2.839,1.3,-0.059,,,,9.65,2.915,1.378,0.027,,,,9.7,3.185,1.836,0.619
9.6,2.791,1.239,-0.14,,,,9.65,2.869,1.318,-0.053,,,,9.7,3.164,1.769,0.533
9.6,2.742,1.18,-0.217,,,,9.65,2.819,1.258,-0.132,,,,9.7,3.148,1.706,0.45
9.6,2.691,1.12,-0.295,,,,9.65,2.769,1.198,-0.21,,,,9.7,3.128,1.644,0.368
9.6,2.643,1.062,-0.37,,,,9.65,2.719,1.139,-0.286,,,,9.7,3.084,1.581,0.282
9.6,2.594,1.005,-0.442,,,,9.65,2.669,1.08,-0.361,,,,9.7,3.04,1.52,0.198
9.6,2.59,0.957,-0.508,,,,9.65,2.642,1.029,-0.429,,,,9.7,2.994,1.46,0.117
