logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,2.585,0.877,-0.646,,,,9.63,2.616,0.719,-0.863,,,,9.66,2.645,0.771,-0.803,,,,9.69,2.674,0.754,-0.829
9.6,2.587,0.973,-0.523,,,,9.63,2.615,0.751,-0.822,,,,9.66,2.644,0.812,-0.749,,,,9.69,2.677,0.744,-0.847
9.6,2.59,1.075,-0.393,,,,9.63,2.614,0.8,-0.756,,,,9.66,2.643,0.871,-0.671,,,,9.69,2.675,0.748,-0.842
9.6,2.593,1.21,-0.223,,,,9.63,2.613,0.859,-0.677,,,,9.66,2.644,0.94,-0.581,,,,9.69,2.676,0.754,-0.835
9.6,2.601,1.355,-0.042,,,,9.63,2.615,0.939,-0.574,,,,9.66,2.645,1.035,-0.459,,,,9.69,2.674,0.781,-0.799
9.6,2.609,1.528,0.183,,,,9.63,2.617,1.036,-0.45,,,,9.66,2.649,1.138,-0.328,,,,9.69,2.674,0.812,-0.759
9.6,2.611,1.574,0.243,,,,9.63,2.62,1.149,-0.306,,,,9.66,2.652,1.273,-0.158,,,,9.69,2.672,0.861,-0.694
9.6,2.821,1.886,0.837,,,,9.63,2.625,1.289,-0.131,,,,9.66,2.66,1.417,0.022,,,,9.69,2.672,0.921,-0.614
9.6,2.815,1.866,0.812,,,,9.63,2.633,1.445,0.066,,,,9.66,2.668,1.595,0.254,,,,9.69,2.673,1,-0.511
9.6,2.81,1.857,0.801,,,,9.63,2.641,1.618,0.293,,,,9.66,2.676,1.758,0.466,,,,9.69,2.675,1.097,-0.388
9.6,2.805,1.855,0.8,,,,9.63,2.643,1.666,0.355,,,,9.66,2.868,1.915,0.859,,,,9.69,2.679,1.211,-0.243
9.6,2.801,1.855,0.802,,,,9.63,2.845,1.9,0.848,,,,9.66,2.863,1.897,0.836,,,,9.69,2.684,1.349,-0.069
9.6,2.796,1.855,0.803,,,,9.63,2.839,1.882,0.824,,,,9.66,2.858,1.889,0.825,,,,9.69,2.691,1.506,0.129
9.6,2.791,1.854,0.805,,,,9.63,2.834,1.873,0.813,,,,9.66,2.853,1.886,0.824,,,,9.69,2.701,1.688,0.367
9.6,2.787,1.854,0.807,,,,9.63,2.829,1.871,0.812,,,,9.66,2.848,1.886,0.826,,,,9.69,2.707,1.842,0.568
9.6,2.782,1.854,0.808,,,,9.63,2.825,1.87,0.814,,,,9.66,2.843,1.886,0.828,,,,9.69,2.89,1.929,0.87
9.6,2.778,1.853,0.809,,,,9.63,2.82,1.87,0.816,,,,9.66,2.839,1.886,0.83,,,,9.69,2.885,1.912,0.847
9.6,2.774,1.852,0.809,,,,9.63,2.815,1.87,0.818,,,,9.66,2.834,1.886,0.832,,,,9.69,2.88,1.904,0.837
9.6,2.77,1.851,0.81,,,,9.63,2.811,1.87,0.819,,,,9.66,2.83,1.886,0.834,,,,9.69,2.875,1.901,0.836
9.6,2.765,1.85,0.809,,,,9.63,2.806,1.87,0.821,,,,9.66,2.826,1.886,0.835,,,,9.69,2.87,1.901,0.838
9.6,2.761,1.848,0.809,,,,9.63,2.802,1.87,0.822,,,,9.66,2.822,1.885,0.836,,,,9.69,2.865,1.901,0.84
9.6,2.757,1.846,0.808,,,,9.63,2.798,1.869,0.823,,,,9.66,2.817,1.884,0.836,,,,9.69,2.861,1.901,0.842
9.6,2.757,1.846,0.808,,,,9.63,2.794,1.868,0.823,,,,9.66,2.813,1.883,0.836,,,,9.69,2.856,1.901,0.844
9.6,2.756,1.846,0.808,,,,9.63,2.79,1.867,0.823,,,,9.66,2.809,1.882,0.836,,,,9.69,2.851,1.901,0.846
9.6,2.752,1.844,0.807,,,,9.63,2.786,1.865,0.823,,,,9.66,2.805,1.88,0.836,,,,9.69,2.847,1.901,0.847
9.6,2.748,1.842,0.806,,,,9.63,2.781,1.864,0.822,,,,9.66,2.805,1.88,0.836,,,,9.69,2.842,1.9,0.848
9.6,2.744,1.84,0.804,,,,9.63,2.781,1.863,0.822,,,,9.66,2.801,1.879,0.835,,,,9.69,2.838,1.899,0.849
9.6,2.741,1.837,0.802,,,,9.63,2.777,1.862,0.821,,,,9.66,2.798,1.877,0.834,,,,9.69,2.834,1.898,0.849
9.6,2.737,1.834,0.799,,,,9.63,2.774,1.86,0.82,,,,9.66,2.794,1.875,0.833,,,,9.69,2.83,1.897,0.849
9.6,2.734,1.831,0.796,,,,9.63,2.77,1.858,0.819,,,,9.66,2.791,1.873,0.831,,,,9.69,2.827,1.896,0.849
9.6,2.731,1.828,0.793,,,,9.63,2.767,1.856,0.817,,,,9.66,2.787,1.871,0.829,,,,9.69,2.826,1.896,0.849
9.6,2.731,1.828,0.792,,,,9.63,2.763,1.853,0.815,,,,9.66,2.784,1.868,0.827,,,,9.69,2.822,1.894,0.848
