Ref,V,B-V,U-B
29,21.49,1.14,
29,21.08,1.16,
29,20.7,1.11,0.42
29,20.81,1.1,0.61
29,22.07,1.16,
29,21.18,0.98,0.4
29,21.81,1.48,
29,18.97,0.96,0.22
29,21.33,0.95,0.11
29,21.1,1.27,
29,21.44,1.5,
29,20.26,0.96,0.31
29,18.49,0.86,0.14
29,17.3,0.56,0.12
29,20.37,1.23,0.64
29,21.93,1.36,
29,18.46,0.87,0.16
29,21.87,1.76,
29,19.17,0.89,0.16
29,21.5,1.13,
29,18.93,0.9,0.13
29,20.28,0.88,0.35
29,21.73,1.23,
29,20.56,1.09,0.33
29,20.3,1,0.29
29,21.55,1.2,
29,22.01,1.14,
29,20.17,1.06,0.41
29,20.65,1.12,0.49
29,20.96,1.87,
29,22.24,0.98,
29,20.26,1.09,0.4
29,21.66,1.1,
29,21.28,1.11,
29,20.32,0.99,0.15
29,20.94,1.25,
29,21.67,1.22,
29,20.5,0.85,0.51
29,20.64,1.1,0.41
29,21.06,1.42,
29,21.54,1.17,
29,21.18,1.36,
29,20.78,1.15,0.42
29,21.76,1.29,
29,20.53,0.89,0.14
29,20.68,1.16,0.52
29,19.56,1.03,0.24
29,20.89,1.03,0.4
29,19.58,0.91,0.2
29,21.1,1.09,0.66
29,20.77,1.74,
29,21.53,1.43,
29,20.13,0.99,0.25
29,20.5,1.19,0.6
29,21.27,1.2,
29,20.67,1.28,
29,21.66,1.48,
29,21.7,1.74,
29,20.99,1.17,0.55
29,20.85,0.91,0.07
29,20.27,1.03,0.28
29,20.88,1.11,0.31
29,20.6,1.26,
29,20.84,1.03,0.43
29,21.11,1.03,0.28
29,21.63,1.3,
29,21.9,1.3,
29,21.59,1.55,
29,20.13,1.02,0.12
29,20.27,1.02,0.2
29,21.32,1.22,
29,20.97,1.01,0.51
29,20.46,0.98,0.25
29,21.79,1.73,
29,21.49,1.09,
29,20.44,0.88,0.2
29,21.3,1.2,
29,21.53,1.21,
29,21.42,1.11,
29,20.89,1.06,0.48
29,20.29,0.88,0.16
29,20.28,1.17,0.51
29,21.25,1.14,
29,20.88,1.07,0.35
29,20.14,1.01,0.16
29,20.69,1.2,0.56
29,21.81,1.16,
29,21.05,1.23,0.28
29,20.1,1.03,0.25
29,19.56,0.92,0.09
29,20.92,1.87,
29,18.73,0.98,0.16
29,18.27,1.24,0.59
29,21,1.63,
29,20.56,1.09,0.34
29,21.04,1.45,
29,20.23,1.04,0.19
29,20.64,1.11,0.44
29,20.92,1.13,0.4
29,21.94,1.25,
29,21.7,1.17,
29,20.52,1.36,
29,21.2,1.12,
29,21.27,1.1,
29,20.59,1.02,0.26
29,21.64,1.28,
29,21.39,1.08,
29,21.16,1.39,
29,21.77,1.12,
29,20.54,1.32,
29,21.3,1.99,
